2023-08-05 09:57:34,378:__init__:C:\g\WilE
2023-08-05 09:57:34,378:__init__:beep beep settin up the tootle toot:
wile object instantiated
2023-08-05 09:57:34,378:pull_synoptic_hist:pulling synoptic timeseries data
2023-08-05 09:57:42,429:pull_synoptic_hist:start=202308010000, end=202308050957 

beginning while loop:
2023-08-05 10:06:19,250:pull_synoptic_hist:iteration end: chunk start=202308022057, chunk end=202308022157
2023-08-05 10:06:19,250:pull_synoptic_hist:iteration start: chunk start=202308022057, chunk end=202308022157
2023-08-05 10:06:29,784:pull_synoptic_hist:iteration end: chunk start=202308021957, chunk end=202308022057
2023-08-05 10:06:29,784:pull_synoptic_hist:iteration start: chunk start=202308021957, chunk end=202308022057
2023-08-05 10:06:36,920:pull_synoptic_hist:iteration end: chunk start=202308021857, chunk end=202308021957
2023-08-05 10:06:36,920:pull_synoptic_hist:iteration start: chunk start=202308021857, chunk end=202308021957
2023-08-05 10:06:55,728:pull_synoptic_hist:iteration end: chunk start=202308021757, chunk end=202308021857
2023-08-05 10:06:55,728:pull_synoptic_hist:iteration start: chunk start=202308021757, chunk end=202308021857
2023-08-05 10:07:03,356:pull_synoptic_hist:iteration end: chunk start=202308021657, chunk end=202308021757
2023-08-05 10:07:03,356:pull_synoptic_hist:iteration start: chunk start=202308021657, chunk end=202308021757
2023-08-05 10:07:12,543:pull_synoptic_hist:iteration end: chunk start=202308021557, chunk end=202308021657
2023-08-05 10:07:12,543:pull_synoptic_hist:iteration start: chunk start=202308021557, chunk end=202308021657
2023-08-05 10:07:23,585:pull_synoptic_hist:iteration end: chunk start=202308021457, chunk end=202308021557
2023-08-05 10:07:23,585:pull_synoptic_hist:iteration start: chunk start=202308021457, chunk end=202308021557
2023-08-05 10:07:32,382:pull_synoptic_hist:iteration end: chunk start=202308021357, chunk end=202308021457
2023-08-05 10:07:32,382:pull_synoptic_hist:iteration start: chunk start=202308021357, chunk end=202308021457
2023-08-05 10:07:40,699:pull_synoptic_hist:iteration end: chunk start=202308021257, chunk end=202308021357
2023-08-05 10:07:40,699:pull_synoptic_hist:iteration start: chunk start=202308021257, chunk end=202308021357
2023-08-05 10:07:54,475:pull_synoptic_hist:iteration end: chunk start=202308021157, chunk end=202308021257
2023-08-05 10:07:54,475:pull_synoptic_hist:iteration start: chunk start=202308021157, chunk end=202308021257
2023-08-05 10:08:02,366:pull_synoptic_hist:iteration end: chunk start=202308021057, chunk end=202308021157
2023-08-05 10:08:02,366:pull_synoptic_hist:iteration start: chunk start=202308021057, chunk end=202308021157
2023-08-05 10:08:10,735:pull_synoptic_hist:iteration end: chunk start=202308020957, chunk end=202308021057
2023-08-05 10:08:10,735:pull_synoptic_hist:iteration start: chunk start=202308020957, chunk end=202308021057
2023-08-05 10:08:18,087:pull_synoptic_hist:iteration end: chunk start=202308020857, chunk end=202308020957
2023-08-05 10:08:18,087:pull_synoptic_hist:iteration start: chunk start=202308020857, chunk end=202308020957
2023-08-05 10:08:27,723:pull_synoptic_hist:iteration end: chunk start=202308020757, chunk end=202308020857
2023-08-05 10:08:27,723:pull_synoptic_hist:iteration start: chunk start=202308020757, chunk end=202308020857
2023-08-05 10:08:35,826:pull_synoptic_hist:iteration end: chunk start=202308020657, chunk end=202308020757
2023-08-05 10:08:35,826:pull_synoptic_hist:iteration start: chunk start=202308020657, chunk end=202308020757
2023-08-05 10:08:49,672:pull_synoptic_hist:iteration end: chunk start=202308020557, chunk end=202308020657
2023-08-05 10:08:49,672:pull_synoptic_hist:iteration start: chunk start=202308020557, chunk end=202308020657
2023-08-05 10:08:57,969:pull_synoptic_hist:iteration end: chunk start=202308020457, chunk end=202308020557
2023-08-05 10:08:57,969:pull_synoptic_hist:iteration start: chunk start=202308020457, chunk end=202308020557
2023-08-05 10:09:15,030:pull_synoptic_hist:iteration end: chunk start=202308020357, chunk end=202308020457
2023-08-05 10:09:15,030:pull_synoptic_hist:iteration start: chunk start=202308020357, chunk end=202308020457
2023-08-05 10:09:23,516:pull_synoptic_hist:iteration end: chunk start=202308020257, chunk end=202308020357
2023-08-05 10:09:23,516:pull_synoptic_hist:iteration start: chunk start=202308020257, chunk end=202308020357
2023-08-05 10:09:33,414:pull_synoptic_hist:iteration end: chunk start=202308020157, chunk end=202308020257
2023-08-05 10:09:33,414:pull_synoptic_hist:iteration start: chunk start=202308020157, chunk end=202308020257
2023-08-05 10:09:42,111:pull_synoptic_hist:iteration end: chunk start=202308020057, chunk end=202308020157
2023-08-05 10:09:42,111:pull_synoptic_hist:iteration start: chunk start=202308020057, chunk end=202308020157
2023-08-05 10:09:50,739:pull_synoptic_hist:iteration end: chunk start=202308012357, chunk end=202308020057
2023-08-05 10:09:50,739:pull_synoptic_hist:iteration start: chunk start=202308012357, chunk end=202308020057
2023-08-05 10:09:59,492:pull_synoptic_hist:iteration end: chunk start=202308012257, chunk end=202308012357
2023-08-05 10:09:59,492:pull_synoptic_hist:iteration start: chunk start=202308012257, chunk end=202308012357
2023-08-05 10:10:12,812:pull_synoptic_hist:iteration end: chunk start=202308012157, chunk end=202308012257
2023-08-05 10:10:12,812:pull_synoptic_hist:iteration start: chunk start=202308012157, chunk end=202308012257
2023-08-05 10:10:25,658:pull_synoptic_hist:iteration end: chunk start=202308012057, chunk end=202308012157
2023-08-05 10:10:25,659:pull_synoptic_hist:iteration start: chunk start=202308012057, chunk end=202308012157
2023-08-05 10:10:39,977:pull_synoptic_hist:iteration end: chunk start=202308011957, chunk end=202308012057
2023-08-05 10:10:39,988:pull_synoptic_hist:iteration start: chunk start=202308011957, chunk end=202308012057
2023-08-05 10:10:50,507:pull_synoptic_hist:iteration end: chunk start=202308011857, chunk end=202308011957
2023-08-05 10:10:50,507:pull_synoptic_hist:iteration start: chunk start=202308011857, chunk end=202308011957
2023-08-05 10:10:59,499:pull_synoptic_hist:iteration end: chunk start=202308011757, chunk end=202308011857
2023-08-05 10:10:59,499:pull_synoptic_hist:iteration start: chunk start=202308011757, chunk end=202308011857
2023-08-05 10:11:08,009:pull_synoptic_hist:iteration end: chunk start=202308011657, chunk end=202308011757
2023-08-05 10:11:08,009:pull_synoptic_hist:iteration start: chunk start=202308011657, chunk end=202308011757
2023-08-05 10:11:16,995:pull_synoptic_hist:iteration end: chunk start=202308011557, chunk end=202308011657
2023-08-05 10:11:16,995:pull_synoptic_hist:iteration start: chunk start=202308011557, chunk end=202308011657
2023-08-05 10:11:24,942:pull_synoptic_hist:iteration end: chunk start=202308011457, chunk end=202308011557
2023-08-05 10:11:24,942:pull_synoptic_hist:iteration start: chunk start=202308011457, chunk end=202308011557
2023-08-05 10:12:00,184:pull_synoptic_hist:iteration end: chunk start=202308011357, chunk end=202308011457
2023-08-05 10:12:00,184:pull_synoptic_hist:iteration start: chunk start=202308011357, chunk end=202308011457
2023-08-05 10:12:10,721:pull_synoptic_hist:iteration end: chunk start=202308011257, chunk end=202308011357
2023-08-05 10:12:10,721:pull_synoptic_hist:iteration start: chunk start=202308011257, chunk end=202308011357
2023-08-05 10:12:21,177:pull_synoptic_hist:iteration end: chunk start=202308011157, chunk end=202308011257
2023-08-05 10:12:21,177:pull_synoptic_hist:iteration start: chunk start=202308011157, chunk end=202308011257
2023-08-05 10:12:33,032:pull_synoptic_hist:iteration end: chunk start=202308011057, chunk end=202308011157
2023-08-05 10:12:33,032:pull_synoptic_hist:iteration start: chunk start=202308011057, chunk end=202308011157
2023-08-05 10:12:40,664:pull_synoptic_hist:iteration end: chunk start=202308010957, chunk end=202308011057
2023-08-05 10:12:40,664:pull_synoptic_hist:iteration start: chunk start=202308010957, chunk end=202308011057
2023-08-05 10:12:48,174:pull_synoptic_hist:iteration end: chunk start=202308010857, chunk end=202308010957
2023-08-05 10:12:48,174:pull_synoptic_hist:iteration start: chunk start=202308010857, chunk end=202308010957
2023-08-05 10:12:58,703:pull_synoptic_hist:iteration end: chunk start=202308010757, chunk end=202308010857
2023-08-05 10:12:58,703:pull_synoptic_hist:iteration start: chunk start=202308010757, chunk end=202308010857
2023-08-05 10:13:08,998:pull_synoptic_hist:iteration end: chunk start=202308010657, chunk end=202308010757
2023-08-05 10:13:08,998:pull_synoptic_hist:iteration start: chunk start=202308010657, chunk end=202308010757
2023-08-05 10:13:18,289:pull_synoptic_hist:iteration end: chunk start=202308010557, chunk end=202308010657
2023-08-05 10:13:18,289:pull_synoptic_hist:iteration start: chunk start=202308010557, chunk end=202308010657
2023-08-05 10:13:26,256:pull_synoptic_hist:iteration end: chunk start=202308010457, chunk end=202308010557
2023-08-05 10:13:26,256:pull_synoptic_hist:iteration start: chunk start=202308010457, chunk end=202308010557
2023-08-05 10:13:35,493:pull_synoptic_hist:iteration end: chunk start=202308010357, chunk end=202308010457
2023-08-05 10:13:35,493:pull_synoptic_hist:iteration start: chunk start=202308010357, chunk end=202308010457
2023-08-05 10:13:50,304:pull_synoptic_hist:iteration end: chunk start=202308010257, chunk end=202308010357
2023-08-05 10:13:50,304:pull_synoptic_hist:iteration start: chunk start=202308010257, chunk end=202308010357
2023-08-05 10:14:01,657:pull_synoptic_hist:iteration end: chunk start=202308010157, chunk end=202308010257
2023-08-05 10:14:01,657:pull_synoptic_hist:iteration start: chunk start=202308010157, chunk end=202308010257
2023-08-05 10:14:15,735:pull_synoptic_hist:iteration end: chunk start=202308010057, chunk end=202308010157
2023-08-05 10:14:15,958:pull_synoptic_hist:saved historical measurements to csv
filename = synoptic_historical_retrieved_08.05.2023_10.14.15.csv
path = C:\g\WilE\data\hist

