,STATUS,MNET_ID,ELEVATION,NAME,STID,ELEV_DEM,LONGITUDE,STATE,RESTRICTED,QC_FLAGGED,LATITUDE,TIMEZONE,ID,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,SENSOR_VARIABLES.air_temp.air_temp_value_1.period_of_record.start,SENSOR_VARIABLES.air_temp.air_temp_value_1.period_of_record.end,SENSOR_VARIABLES.dew_point_temperature.dew_point_temperature_value_1d.derived_from,SENSOR_VARIABLES.relative_humidity.relative_humidity_value_1.period_of_record.start,SENSOR_VARIABLES.relative_humidity.relative_humidity_value_1.period_of_record.end,SENSOR_VARIABLES.sea_level_pressure.sea_level_pressure_value_1.period_of_record.start,SENSOR_VARIABLES.sea_level_pressure.sea_level_pressure_value_1.period_of_record.end,SENSOR_VARIABLES.sea_level_pressure.sea_level_pressure_value_1d.derived_from,UNITS.position,UNITS.elevation,OBSERVATIONS.dew_point_temperature_value_1d.date_time,OBSERVATIONS.dew_point_temperature_value_1d.value,OBSERVATIONS.sea_level_pressure_value_1d.date_time,OBSERVATIONS.sea_level_pressure_value_1d.value,OBSERVATIONS.air_temp_value_1.date_time,OBSERVATIONS.air_temp_value_1.value,OBSERVATIONS.sea_level_pressure_value_1.date_time,OBSERVATIONS.sea_level_pressure_value_1.value,OBSERVATIONS.relative_humidity_value_1.date_time,OBSERVATIONS.relative_humidity_value_1.value,SENSOR_VARIABLES.dew_point_temperature.dew_point_temperature_value_1.period_of_record.start,SENSOR_VARIABLES.dew_point_temperature.dew_point_temperature_value_1.period_of_record.end,OBSERVATIONS.dew_point_temperature_value_1.date_time,OBSERVATIONS.dew_point_temperature_value_1.value,SENSOR_VARIABLES.precip_accum.precip_accum_value_1.period_of_record.start,SENSOR_VARIABLES.precip_accum.precip_accum_value_1.period_of_record.end,OBSERVATIONS.precip_accum_value_1.date_time,OBSERVATIONS.precip_accum_value_1.value,SENSOR_VARIABLES.soil_temp.soil_temp_value_4.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_4.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_1.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_1.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_2.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_2.period_of_record.end,OBSERVATIONS.soil_temp_value_4.date_time,OBSERVATIONS.soil_temp_value_4.value,OBSERVATIONS.soil_temp_value_1.date_time,OBSERVATIONS.soil_temp_value_1.value,OBSERVATIONS.soil_temp_value_2.date_time,OBSERVATIONS.soil_temp_value_2.value,SENSOR_VARIABLES.soil_temp.soil_temp_value_3.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_3.period_of_record.end,OBSERVATIONS.soil_temp_value_3.date_time,OBSERVATIONS.soil_temp_value_3.value,SENSOR_VARIABLES.air_temp.air_temp_value_2.period_of_record.start,SENSOR_VARIABLES.air_temp.air_temp_value_2.period_of_record.end,OBSERVATIONS.air_temp_value_2.date_time,OBSERVATIONS.air_temp_value_2.value,SENSOR_VARIABLES.soil_temp.soil_temp_value_10.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_10.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_8.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_8.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_9.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_9.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_5.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_5.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_6.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_6.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_7.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_7.period_of_record.end,OBSERVATIONS.soil_temp_value_7.date_time,OBSERVATIONS.soil_temp_value_7.value,OBSERVATIONS.soil_temp_value_10.date_time,OBSERVATIONS.soil_temp_value_10.value,OBSERVATIONS.soil_temp_value_8.date_time,OBSERVATIONS.soil_temp_value_8.value,OBSERVATIONS.soil_temp_value_9.date_time,OBSERVATIONS.soil_temp_value_9.value,OBSERVATIONS.soil_temp_value_5.date_time,OBSERVATIONS.soil_temp_value_5.value,OBSERVATIONS.soil_temp_value_6.date_time,OBSERVATIONS.soil_temp_value_6.value
10,ACTIVE,1,23,"Concord, Buchanan Field",KCCR,9.8,-122.05194,CA,False,False,37.99167,America/Los_Angeles,127,1997-04-12T00:00:00Z,2023-07-31T23:40:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,11.13,2023-08-01T00:10:00Z,1012.48,2023-08-01T00:10:00Z,33.0,2023-07-31T23:53:00Z,1011.0,2023-08-01T00:10:00Z,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ACTIVE,1,56,"Crescent City, Jack McNamara Field Airport",KCEC,62.3,-124.23667,CA,False,False,41.78028,America/Los_Angeles,129,1997-04-12T00:00:00Z,2023-07-31T23:40:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,12.98,2023-08-01T00:10:00Z,1017.94,2023-08-01T00:10:00Z,16.0,2023-07-31T23:56:00Z,1018.1,2023-08-01T00:10:00Z,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ACTIVE,1,236,Chico Municipal Airport,KCIC,223.1,-121.85795,CA,False,False,39.79879,America/Los_Angeles,132,1997-04-12T00:00:00Z,2023-07-31T22:47:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-07-31T23:53:00Z,5.25,2023-07-31T23:53:00Z,1011.25,2023-07-31T23:53:00Z,36.0,,,2023-07-31T23:53:00Z,14.72,,,2023-07-31T23:53:00Z,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ACTIVE,1,75,"Camarillo, Camarillo Airport",KCMA,88.6,-119.08333,CA,False,False,34.21667,America/Los_Angeles,134,1999-11-14T00:00:00Z,2023-07-31T23:40:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,18.01,2023-08-01T00:10:00Z,1012.42,2023-08-01T00:10:00Z,27.0,2023-07-31T23:55:00Z,1013.3,2023-08-01T00:10:00Z,57.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ACTIVE,1,650,"Chino, Chino Airport",KCNO,629.9,-117.62361,CA,False,False,33.97556,America/Los_Angeles,136,1997-04-12T00:00:00Z,2023-07-31T22:53:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,15.09,2023-08-01T00:10:00Z,1010.75,2023-08-01T00:10:00Z,32.0,2023-07-31T23:53:00Z,1011.8,2023-08-01T00:10:00Z,35.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ACTIVE,1,179,Los Angeles / USC Campus Downtown,KCQT,193.6,-118.29122,CA,False,False,34.02355,America/Los_Angeles,143,2000-01-10T00:00:00Z,2023-07-31T22:47:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-07-31T23:47:00Z,19.43,2023-07-31T23:47:00Z,1011.87,2023-07-31T23:47:00Z,29.4,2023-07-31T23:47:00Z,1011.7,2023-07-31T23:47:00Z,55.0,,,2023-07-31T23:47:00Z,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ACTIVE,1,328,"Carlsbad, McClellan-Palomar Airport",KCRQ,315,-117.27583,CA,False,False,33.13000,America/Los_Angeles,144,1997-04-12T00:00:00Z,2023-07-31T23:35:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,18.0,2023-08-01T00:10:00Z,1012.43,2023-08-01T00:10:00Z,25.0,2023-07-31T23:53:00Z,1012.5,2023-08-01T00:10:00Z,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ACTIVE,1,1926,"Daggett, Barstow-Daggett Airport",KDAG,1909.4,-116.78667,CA,False,False,34.85361,America/Los_Angeles,152,1997-01-11T00:00:00Z,2023-07-31T22:50:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,12.22,2023-08-01T00:10:00Z,1006.63,2023-08-01T00:10:00Z,37.0,2023-07-31T23:50:00Z,1009.6,2023-08-01T00:10:00Z,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ACTIVE,1,2310,Edwards Air Force Base,KEDW,2306.4,-117.87900,CA,False,False,34.91800,America/Los_Angeles,169,1997-04-12T00:00:00Z,2023-07-31T22:55:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-07-31T23:55:00Z,10.83,2023-07-31T23:55:00Z,1007.84,2023-07-31T23:55:00Z,33.4,2023-07-31T23:55:00Z,1011.6,2023-07-31T23:55:00Z,25.06,,,2023-07-31T23:55:00Z,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ACTIVE,1,890,"Needles, Needles Airport",KEED,918.6,-114.62333,CA,False,False,34.76611,America/Los_Angeles,170,1997-04-12T00:00:00Z,2023-07-31T23:35:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,14.32,2023-08-01T00:10:00Z,1006.59,2023-08-01T00:10:00Z,41.0,2023-07-31T23:56:00Z,1005.8,2023-08-01T00:10:00Z,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
