,ELEVATION,LONGITUDE,QC_FLAGGED,LATITUDE,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,OBSERVATIONS.air_temp_value_1.date_time,OBSERVATIONS.air_temp_value_1.value,OBSERVATIONS.air_temp_value_2.date_time,OBSERVATIONS.air_temp_value_2.value,OBSERVATIONS.sea_level_pressure_value_1d.date_time,OBSERVATIONS.sea_level_pressure_value_1d.value,OBSERVATIONS.sea_level_pressure_value_1.date_time,OBSERVATIONS.sea_level_pressure_value_1.value,OBSERVATIONS.dew_point_temperature_value_1d.date_time,OBSERVATIONS.dew_point_temperature_value_1d.value,OBSERVATIONS.dew_point_temperature_value_1.date_time,OBSERVATIONS.dew_point_temperature_value_1.value,OBSERVATIONS.relative_humidity_value_1.date_time,OBSERVATIONS.relative_humidity_value_1.value
5558,2903,-120.70686,False,38.78960,2020-08-12T00:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,26.83,,,,,,,2023-08-06T17:10:00Z,13.15,,,2023-08-06T17:10:00Z,42.86
5559,1439,-121.17321,False,39.20884,2020-08-12T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,30.28,,,,,,,2023-08-06T17:10:00Z,11.22,,,2023-08-06T17:10:00Z,30.8
5560,1529,-121.14744,False,39.12142,2020-08-12T03:14:00Z,2023-07-20T18:40:00Z,2023-07-20T18:40:00Z,30.39,,,,,,,2023-07-20T18:40:00Z,13.81,,,2023-07-20T18:40:00Z,36.29
5561,7849,-119.17762,False,38.11709,2020-08-12T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,17.08,,,,,,,2023-08-06T17:20:00Z,4.15,,,2023-08-06T17:20:00Z,42.49
5562,609,-121.19114,False,39.34250,2020-08-12T21:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,29.72,,,,,,,2023-08-06T17:10:00Z,12.22,,,2023-08-06T17:10:00Z,34.01
5563,1459,-117.30772,False,33.67306,2020-08-13T13:23:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.28,,,,,,,2023-08-06T17:20:00Z,12.88,,,2023-08-06T17:20:00Z,32.43
5564,231,-122.79524,False,38.57587,2020-08-14T16:54:00Z,2023-07-31T17:40:00Z,2023-08-06T17:00:00Z,26.16,,,,,,,2023-08-06T17:00:00Z,14.0,,,2023-08-06T17:00:00Z,47.13
5565,4036,-123.68102,False,40.73362,2020-08-13T16:05:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,21.84,,,,,,,2023-08-06T17:10:00Z,8.78,,,2023-08-06T17:10:00Z,43.36
5566,494,-122.25748,False,40.50669,2020-08-14T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,31.5,,,,,,,2023-08-06T17:10:00Z,9.03,,,2023-08-06T17:10:00Z,24.77
5567,4119,-121.19119,False,41.08793,2020-08-14T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,20.06,,,,,,,2023-08-06T17:10:00Z,7.06,,,2023-08-06T17:10:00Z,43.07
5568,4569,-123.75575,False,40.75020,2020-08-14T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,19.73,,,,,,,2023-08-06T17:10:00Z,7.42,,,2023-08-06T17:10:00Z,45.06
5569,160,-117.79584,False,33.64827,2020-08-14T04:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,24.19,,,,,,,2023-08-06T17:20:00Z,18.9,,,2023-08-06T17:20:00Z,72.43
5570,1230,-117.29842,False,34.15314,2020-08-14T04:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.22,,,,,,,2023-08-06T17:20:00Z,12.24,,,2023-08-06T17:20:00Z,31.2
5571,1419,-117.18237,False,33.77207,2020-08-15T04:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.83,,,,,,,2023-08-06T17:20:00Z,10.51,,,2023-08-06T17:20:00Z,28.44
5572,1859,-117.13474,False,33.77545,2020-08-15T04:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.28,,,,,,,2023-08-06T17:20:00Z,8.82,,,2023-08-06T17:20:00Z,24.73
5573,1055,-117.85607,False,34.05627,2020-08-15T04:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,25.56,,,,,,,2023-08-06T17:20:00Z,18.85,,,2023-08-06T17:20:00Z,66.5
5574,2130,-120.96310,False,39.01565,2020-08-15T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,29.33,,,,,,,2023-08-06T17:10:00Z,11.79,,,2023-08-06T17:10:00Z,33.81
